47 87
1 16 499.81
1 21 346.4
1 26 153.22
1 30 132.08
2 14 708.89
2 41 493.44
3 8 268.03
3 10 252.61
3 15 523.63
3 17 214.15
3 20 764.8
3 23 526.26
3 39 54.88
3 40 278.36
3 43 683.53
4 22 402.89
4 24 172.11
4 33 475.71
4 36 675.12
4 45 432.84
5 14 263.9
5 15 651.34
5 25 187.14
5 31 173.48
6 8 289.22
6 30 172.26
6 38 196.79
7 16 525.72
7 26 173.86
7 35 295.79
7 38 329.09
7 44 853.38
8 17 299.54
8 30 457.51
8 38 367.63
8 40 81.29
10 15 279.74
10 33 517.19
10 39 291.06
11 15 354.85
12 22 279.53
12 36 867.53
13 32 786.91
13 36 892.58
13 42 395.75
14 15 878.05
14 20 1107.05
14 25 293.88
14 29 689.85
14 41 1052.68
14 43 435.0
15 25 591.71
15 31 577.42
15 33 516.34
15 43 753.12
16 26 487.15
16 44 818.72
17 35 643.44
17 38 317.57
17 39 161.42
17 45 899.15
19 46 461.94
20 37 227.43
20 40 489.18
20 43 690.92
20 47 4.88
21 26 279.88
21 30 238.73
21 38 45.41
22 24 247.06
22 36 841.5
23 43 158.68
24 33 393.16
24 36 790.08
26 38 323.31
28 35 327.02
28 45 402.5
30 38 281.2
32 42 416.34
33 36 1150.73
33 39 532.07
33 45 689.36
34 41 502.37
35 38 448.72
35 45 747.21
36 45 754.95
39 45 1004.52
